Word Length,Rank,Quant SVD BLEU (Range-Based),Iterative Quant SVD BLEU (Range-Based),Compression Ratio
3,64,12.882303662837389,12.302589286909834,42.666666666666664
3,80,14.481613947133514,15.30112164248183,34.13333333333333
3,96,12.998888116048615,16.456707185705707,28.444444444444443
3,112,15.60005372423423,17.142709718529165,24.38095238095238
3,128,17.27246748616876,17.19388292478654,21.333333333333332
3,144,17.883868193970333,18.12825073403784,18.962962962962962
3,160,18.662613661980785,19.518220379537553,17.066666666666666
3,176,19.532344647574217,20.97541007002948,15.515151515151516
3,192,20.254830294508295,21.31956277810048,14.222222222222221
3,208,21.030346014861774,22.632494225436453,13.128205128205128
3,224,20.82656254035615,22.440436722945716,12.19047619047619
3,240,21.515345861594483,24.35004172692516,11.377777777777778
3,256,21.423035812188527,23.92403937472196,10.666666666666666
3,272,21.02499110558675,24.7029851829698,10.03921568627451
3,288,21.72754225322869,24.57817569544478,9.481481481481481
3,304,21.842235034876385,24.342716797454834,8.982456140350877
3,320,21.97783981375916,24.744926922552796,8.533333333333333
3,336,22.307502465527808,25.368475283882418,8.126984126984127
3,352,22.35355220032207,26.050874726732054,7.757575757575758
3,368,22.230179947627914,26.11206657546934,7.420289855072464
3,384,22.513210426797627,25.764938082335753,7.111111111111111
3,400,22.556985368710418,26.119088354681995,6.826666666666667
3,416,22.112969985764305,26.443104313267064,6.564102564102564
3,432,22.188976767301234,27.209576833614378,6.320987654320987
3,448,22.24461001655808,26.999600421979764,6.095238095238095
3,464,22.657570438380336,27.225603236796726,5.885057471264368
3,480,22.406288743501907,27.354081811389978,5.688888888888889
3,496,22.155010157450725,27.27816031388219,5.505376344086022
3,512,21.693131567689157,27.180183166091084,5.333333333333333
4,64,15.61776127794025,14.778757454769643,32.0
4,80,17.12784938882921,16.77464652604936,25.6
4,96,18.230202764711187,18.056662220173077,21.333333333333332
4,112,20.655442168972304,19.793740016293267,18.285714285714285
4,128,21.028676631079023,20.623176006585435,16.0
4,144,21.359812254898788,21.603764590323152,14.222222222222221
4,160,23.142199480065962,22.654029086249285,12.8
4,176,24.177445947923804,24.04700258260484,11.636363636363637
4,192,24.844967444377488,25.18830374684385,10.666666666666666
4,208,25.494713221431926,25.684762105832842,9.846153846153847
4,224,25.61653971274654,26.3059583948628,9.142857142857142
4,240,25.49034760038046,25.836552188942676,8.533333333333333
4,256,25.739323433813375,25.48930771077682,8.0
4,272,25.26543362200969,26.138961968613174,7.529411764705882
4,288,25.947949216809928,25.995178235146167,7.111111111111111
4,304,26.17258895934123,26.279734529837867,6.7368421052631575
4,320,25.901725775692324,26.036785451938755,6.4
4,336,25.84121045210037,26.6350877582401,6.095238095238095
4,352,26.096846608996966,26.044995897612843,5.818181818181818
4,368,26.35065143540327,26.427636072336412,5.565217391304348
4,384,26.24991301974071,26.786468250089463,5.333333333333333
4,400,26.393952956352773,26.960744740731595,5.12
4,416,26.381039821856994,26.45731161946751,4.923076923076923
4,432,26.99825207505268,26.431503748938155,4.7407407407407405
4,448,26.886116400514332,26.71337016323891,4.571428571428571
4,464,26.859925015792324,26.672481966511576,4.413793103448276
4,480,27.070823905273084,26.981696529902386,4.266666666666667
4,496,27.135386527976763,27.62064306842636,4.129032258064516
4,512,27.044539700989585,26.92718848991385,4.0
6,64,14.935732433348198,15.271225341526826,21.333333333333332
6,80,17.55025526723339,17.542614665299077,17.066666666666666
6,96,18.25926643637818,18.29956274706032,14.222222222222221
6,112,19.51294514566062,20.305099258247353,12.19047619047619
6,128,20.593554273189294,21.400654038693187,10.666666666666666
6,144,22.0974080522146,22.315838494195553,9.481481481481481
6,160,23.251793335138267,23.492649906891184,8.533333333333333
6,176,24.64928043742302,24.872966879657397,7.757575757575758
6,192,24.95793832703131,25.39100924526184,7.111111111111111
6,208,26.432229371056287,26.43823410334825,6.564102564102564
6,224,26.377165130831205,26.373074256362845,6.095238095238095
6,240,26.29332836809148,26.604512113607658,5.688888888888889
6,256,26.7811615763189,26.761412824562065,5.333333333333333
6,272,26.94960023077923,26.41862108107168,5.019607843137255
6,288,26.897338359799488,26.32641341679231,4.7407407407407405
6,304,27.301317905161916,26.896702080332286,4.491228070175438
6,320,27.86683580934639,27.864490922988868,4.266666666666667
6,336,27.68555359764694,27.68491719686526,4.063492063492063
6,352,27.493417622900786,27.195600075073358,3.878787878787879
6,368,28.045793618194725,27.989834246970513,3.710144927536232
6,384,28.275853410816143,27.832349081800743,3.5555555555555554
6,400,27.945996683532215,28.42450601698186,3.4133333333333336
6,416,28.35305339875498,28.16445256463244,3.282051282051282
6,432,28.554887692987187,28.38608627807207,3.1604938271604937
6,448,28.260824982865646,27.949785080995543,3.0476190476190474
6,464,27.63232447561364,27.836678945805115,2.942528735632184
6,480,27.65399938637047,27.823882982468547,2.8444444444444446
6,496,28.046645489981643,27.704870710691992,2.752688172043011
6,512,28.17542130914964,27.654546050418823,2.6666666666666665
8,64,15.197146187430247,15.215473981491595,16.0
8,80,17.546509999551052,17.242498476414177,12.8
8,96,18.218745634483664,18.44134589858478,10.666666666666666
8,112,19.824248223268413,20.03081017700696,9.142857142857142
8,128,21.74738193475529,21.505048483029903,8.0
8,144,22.29706621726592,22.303285280872977,7.111111111111111
8,160,23.631085894976657,23.648281984605866,6.4
8,176,24.417460839176925,24.438079832462638,5.818181818181818
8,192,25.07043349354867,25.297834854947375,5.333333333333333
8,208,26.050752252041203,26.24613495452638,4.923076923076923
8,224,26.4355426207872,26.207535333656917,4.571428571428571
8,240,26.675839997866476,26.697619817242774,4.266666666666667
8,256,26.848371935652683,26.563248980883518,4.0
8,272,26.65505283453335,26.757299416085985,3.764705882352941
8,288,26.58956878549073,26.86722269983432,3.5555555555555554
8,304,27.40880353741903,27.35503936472333,3.3684210526315788
8,320,27.976116332726775,27.87054644674586,3.2
8,336,27.925774132309062,28.190872067195322,3.0476190476190474
8,352,27.521282461934177,27.697912377709024,2.909090909090909
8,368,27.515877862865807,27.6933473245101,2.782608695652174
8,384,27.90830695713151,28.122487441649994,2.6666666666666665
8,400,28.066146808485442,27.954796449608445,2.56
8,416,28.199824752699964,27.613071307872854,2.4615384615384617
8,432,28.224535946453518,28.15785718405508,2.3703703703703702
8,448,27.886371218110202,28.14311329256689,2.2857142857142856
8,464,27.74787202987547,27.971620704844057,2.206896551724138
8,480,27.703472808372748,27.86146081540664,2.1333333333333333
8,496,27.81939409853877,27.86146081540664,2.064516129032258
8,512,27.703472808372748,27.81702436739183,2.0
